Make,Model,Cylinder,Trans as listed in FE Guide (derived from col AA thru AF),CityMPG,HighwayMPG,CombinedMPG,Air Aspir Method,Air Aspiration Method Desc,Transmission,Drive,Drive Desc,Fuel,Fuel Usage Desc - Conventional Fuel,Cost,EPA Calculated Annual Fuel Cost - Conventional Fuel -----  Annual fuel cost error. Please revise Verify. ,Carline Class,Carline Class Desc,Release Date,CityCO2,HighwayCO2,CombinedCO2
Bentley,Continental GT,12,Auto(S8),12,21,15,TC,Turbocharged,Semi-Automatic,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),3800,3800,4,Compact Cars,5/15/2014,710,421,580
Bentley,Flying Spur,8,Auto(S8),14,24,17,TC,Turbocharged,Semi-Automatic,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),3350,3350,5,Midsize Cars,3/28/2014,638,370,517
Bentley,Flying Spur,12,Auto(S8),12,20,15,TC,Turbocharged,Semi-Automatic,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),3800,3800,5,Midsize Cars,5/15/2014,736,443,604
Bentley,Mulsanne,8,Auto(S8),11,18,13,TC,Turbocharged,Semi-Automatic,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),4400,4400,5,Midsize Cars,5/1/2014,840,501,688
BMW,Z4 sDrive28i,4,Auto(S8),22,33,26,TC,Turbocharged,Semi-Automatic,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),2200,2200,1,Two Seaters,3/26/2014,403,266,341
BMW,Z4 sDrive28i,4,Manual(M6),22,34,26,TC,Turbocharged,Manual,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),2200,2200,1,Two Seaters,3/26/2014,400,259,337
BMW,Z4 sDrive35i,6,Auto(AM-S7),17,24,20,TC,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),2850,2850,1,Two Seaters,4/1/2014,518,376,454
BMW,Z4 sDrive35i,6,Manual(M6),19,26,21,TC,Turbocharged,Manual,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),2700,2700,1,Two Seaters,4/1/2014,476,340,415
BMW,Z4 sDrive35is,6,Auto(AM-S7),17,24,20,TC,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),2850,2850,1,Two Seaters,4/1/2014,518,376,454
BMW,428i Convertible,4,Auto(S8),23,34,27,TC,Turbocharged,Semi-Automatic,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),2100,2100,3,Subcompact Cars,4/4/2014,391,265,334
